VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[P]"     ,     "rms[U]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[V]"     ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,    "relrms[P]"   ,    "relrms[U]"   ,    "relrms[V]"   
         10,           0,          99,      -2.354519124,      -2.354519124,      -1.351271118,      -1.351271118,      -1.759567231,      -1.759567231,       1.753954902,    -0.04266083436,                 0,                 0,                 0,    -0.02974952578,       1.753954902,    -0.04266083436,                 0,    -0.02432265181,     -0.1230121159,     -0.2882439194,     -0.2919929265
         11,           0,          99,       -2.58379791,       -2.58379791,      -1.535053192,      -1.535053192,      -1.899045046,      -1.899045046,       1.520063206,   -0.006945022446,                 0,                 0,                 0,     -0.1515106579,       1.520063206,   -0.006945022446,                 0,   -0.004568903728,     -0.2851541128,     -0.4858483779,     -0.4885769106
         12,           0,          99,      -2.256321711,      -2.256321711,      -1.597538126,      -1.597538126,      -1.882580219,      -1.882580219,        1.69978177,    -0.01310325223,                 0,                 0,                 0,     -0.1514710354,        1.69978177,    -0.01310325223,                 0,    -0.00770878501,    -0.03268913279,     -0.5194081368,     -0.2628921998
         13,           0,          99,      -2.479379905,      -2.479379905,      -1.530217937,      -1.530217937,      -1.902575608,      -1.902575608,       1.518167074,    0.003823074417,                 0,                 0,                 0,       -0.10649803,       1.518167074,    0.003823074417,                 0,    0.002518217186,      -0.223952065,     -0.1336107386,     -0.2668039827
         14,           0,          99,      -2.451985744,      -2.451985744,      -1.708818253,      -1.708818253,       -2.01202774,       -2.01202774,       1.643973744,      0.1010170475,                 0,                 0,                 0,      0.2048781735,       1.643973744,      0.1010170475,                 0,     0.06144687402,    -0.01455746519,     -0.5144487027,      -0.380059173
         15,           0,          99,       -2.39724092,       -2.39724092,      -1.672780745,      -1.672780745,      -1.967825118,      -1.967825118,       1.517076662,     0.08066176703,                 0,                 0,                 0,      0.1076616825,       1.517076662,     0.08066176703,                 0,      0.0531692096,    -0.03898963869,     -0.3992755449,     -0.2559806904
         16,           0,          99,      -2.444959638,      -2.444959638,      -1.698323276,      -1.698323276,      -2.032953177,      -2.032953177,       1.532013777,       0.130096642,                 0,                 0,                 0,     0.09688760385,       1.532013777,       0.130096642,                 0,      0.0849187154,    -0.04802206183,     -0.3622640869,      -0.349012989
         17,           0,          99,      -2.441430924,      -2.441430924,      -1.709166587,      -1.709166587,      -2.030668696,      -2.030668696,       1.495748073,     0.09058200952,                 0,                 0,                 0,     0.02217974739,       1.495748073,     0.09058200952,                 0,     0.06055966988,    -0.03015920596,     -0.3983518216,     -0.3208739019
         18,           0,          99,      -2.461109568,      -2.461109568,      -1.707204691,      -1.707204691,      -2.052646621,      -2.052646621,       1.442839637,     0.09237341543,                 0,                 0,                 0,     0.06528520692,       1.442839637,     0.09237341543,                 0,     0.06402195577,    -0.03579234999,     -0.3816430709,     -0.3331737325
         19,           0,          99,      -2.475196693,      -2.475196693,       -1.70893109,       -1.70893109,       -2.06895058,       -2.06895058,        1.52210299,     0.08054395584,                 0,                 0,                 0,       0.109213332,        1.52210299,     0.08054395584,                 0,     0.05291623259,    -0.03397088367,     -0.3913913956,     -0.3404036345
         20,           0,          99,      -2.513757633,      -2.513757633,      -1.704538457,      -1.704538457,      -2.006982457,      -2.006982457,       1.630764325,     0.05724609149,                 0,                 0,                 0,     0.03683251978,       1.630764325,     0.05724609149,                 0,     0.03510384094,    -0.04340426828,     -0.3814697726,     -0.2706554665
         21,           0,          99,      -2.518447814,      -2.518447814,      -1.699510955,      -1.699510955,      -1.951394946,      -1.951394946,       1.847907743,     0.09413663933,                 0,                 0,                 0,      0.0781164957,       1.847907743,     0.09413663933,                 0,     0.05094228308,    -0.02801356383,     -0.3801001053,     -0.2585938328
         22,           0,          99,       -2.53819254,       -2.53819254,      -1.687716054,      -1.687716054,      -1.929152112,      -1.929152112,       2.065709949,      0.1375964721,                 0,                 0,                 0,      0.1487999512,       2.065709949,      0.1375964721,                 0,     0.06660977366,     -0.0409417576,     -0.3700009547,     -0.2868447412
         23,           0,          99,      -2.569171274,      -2.569171274,      -1.703438567,      -1.703438567,      -1.962025879,      -1.962025879,        2.10137638,      0.1805139616,                 0,                 0,                 0,      0.2569671503,        2.10137638,      0.1805139616,                 0,     0.08590272704,    -0.03294366193,     -0.3828809628,     -0.3459320634
         24,           0,          99,      -2.525894188,      -2.525894188,      -1.687524676,      -1.687524676,      -2.012472018,      -2.012472018,       1.811440627,      0.1884617173,                 0,                 0,                 0,      0.2878895992,       1.811440627,      0.1884617173,                 0,      0.1040396878,   -0.007334221258,     -0.3290885708,     -0.3710658356
         25,           0,          99,      -2.565156691,      -2.565156691,        -1.6147259,        -1.6147259,       -1.91246432,       -1.91246432,        1.17588511,      0.1665262184,                 0,                 0,                 0,      0.2343866426,        1.17588511,      0.1665262184,                 0,      0.1416177627,    -0.05066852374,     -0.2240712084,      -0.206205475
         26,           0,          99,      -2.733040438,      -2.733040438,      -1.613252513,      -1.613252513,      -1.897699174,      -1.897699174,      0.6504886785,      0.1638260016,                 0,                 0,                 0,      0.2432018489,      0.6504886785,      0.1638260016,                 0,      0.2518506578,     -0.1674056486,     -0.2882949514,     -0.2643477636
         27,           0,          99,      -2.600845909,      -2.600845909,      -1.672416668,      -1.672416668,      -2.017464097,      -2.017464097,      0.8555200582,      0.1854764781,                 0,                 0,                 0,      0.3074354925,      0.8555200582,      0.1854764781,                 0,      0.2167996838,                 0,     -0.3873285977,     -0.4358936603
         28,           0,          99,      -2.521066746,      -2.521066746,      -1.636144266,      -1.636144266,      -1.971517678,      -1.971517678,       1.625414565,      0.1998385169,                 0,                 0,                 0,      0.3458470994,       1.625414565,      0.1998385169,                 0,      0.1229461832,    -0.02065429445,     -0.2933075669,     -0.3102739958
         29,           0,          99,      -2.637920837,      -2.637920837,      -1.625128571,      -1.625128571,      -1.945287658,      -1.945287658,       2.060251562,      0.1951383026,                 0,                 0,                 0,      0.3102303644,       2.060251562,      0.1951383026,                 0,     0.09471576489,     -0.1165219062,     -0.2775902524,     -0.2759668757
         30,           0,          99,      -2.587596374,      -2.587596374,       -1.65477613,       -1.65477613,      -1.998085081,      -1.998085081,       1.798230435,      0.1680033633,                 0,                 0,                 0,       0.230089351,       1.798230435,      0.1680033633,                 0,      0.0934270492,                 0,     -0.3654613528,     -0.3901731891
         31,           0,          99,      -2.555966949,      -2.555966949,      -1.628757126,      -1.628757126,      -1.943673387,      -1.943673387,       1.327171732,      0.1645111019,                 0,                 0,                 0,      0.2424770931,       1.327171732,      0.1645111019,                 0,      0.1239561527,    -0.01825523426,     -0.3109135299,      -0.287367989
         32,           0,          99,      -2.591768878,      -2.591768878,      -1.618803881,      -1.618803881,      -1.945441387,      -1.945441387,       1.160763924,      0.2058712753,                 0,                 0,                 0,      0.3857610428,       1.160763924,      0.2058712753,                 0,       0.177358437,    -0.03585949822,     -0.2931824168,     -0.3052649551
         33,           0,          99,      -2.611836619,      -2.611836619,      -1.615745194,      -1.615745194,      -1.958503763,      -1.958503763,       1.313796062,      0.2596208296,                 0,                 0,                 0,      0.5299264585,       1.313796062,      0.2596208296,                 0,        0.19761121,    -0.02488663547,     -0.3166436168,     -0.3359400389
         34,           0,          99,       -2.68128948,       -2.68128948,      -1.605317347,      -1.605317347,      -1.939409693,      -1.939409693,       1.485895308,      0.2778819646,                 0,                 0,                 0,      0.5208111244,       1.485895308,      0.2778819646,                 0,      0.1870131518,     -0.1067861453,     -0.3199481816,     -0.4044282255
         35,           0,          99,      -2.742393338,      -2.742393338,      -1.627433052,      -1.627433052,       -1.92489311,       -1.92489311,        1.52305693,      0.2507598995,                 0,                 0,                 0,      0.3740308221,        1.52305693,      0.2507598995,                 0,      0.1646424992,      -0.085974081,     -0.3554690405,     -0.3476703513
         36,           0,          99,      -2.596000902,      -2.596000902,      -1.700205166,      -1.700205166,      -1.916524449,      -1.916524449,       1.476583212,       0.207610687,                 0,                 0,                 0,      0.2445249423,       1.476583212,       0.207610687,                 0,      0.1406020908,                 0,     -0.4290394006,     -0.3291155234
         37,           0,          99,      -2.495596395,      -2.495596395,      -1.722600534,      -1.722600534,      -1.903658628,      -1.903658628,       1.446677321,      0.1634629211,                 0,                 0,                 0,      0.2164534916,       1.446677321,      0.1634629211,                 0,      0.1129919705,   -0.008328484328,     -0.3998739125,     -0.3345839598
         38,           0,          99,      -2.608698512,      -2.608698512,      -1.658088093,      -1.658088093,      -1.899435507,      -1.899435507,       1.449348429,      0.1385989338,                 0,                 0,                 0,      0.2580311431,       1.449348429,      0.1385989338,                 0,     0.09562844311,     -0.1149948094,     -0.2689597335,     -0.3411083645
         39,           0,          99,      -2.929317393,      -2.929317393,      -1.668498346,      -1.668498346,       -1.89554907,       -1.89554907,       1.443728913,       0.144205099,                 0,                 0,                 0,      0.3092659183,       1.443728913,       0.144205099,                 0,     0.09988377855,     -0.3669232799,     -0.3489971341,     -0.3819929294
         40,           0,          99,      -2.590115261,      -2.590115261,      -1.777733221,      -1.777733221,      -1.910989775,      -1.910989775,       1.423334748,      0.1842387997,                 0,                 0,                 0,      0.3855555747,       1.423334748,      0.1842387997,                 0,       0.129441651,                 0,     -0.4979430918,     -0.3676019016
         41,           0,          99,      -2.561523841,      -2.561523841,       -1.72165622,       -1.72165622,      -1.913181217,      -1.913181217,        1.39834087,      0.2464434586,                 0,                 0,                 0,      0.5086719891,        1.39834087,      0.2464434586,                 0,      0.1762399025,    -0.04870828765,     -0.3529901725,     -0.3675428599
         42,           0,          99,      -2.808826202,      -2.808826202,      -1.707999625,      -1.707999625,      -1.914677971,      -1.914677971,       1.370534263,      0.3057822502,                 0,                 0,                 0,      0.6370954694,       1.370534263,      0.3057822502,                 0,      0.2231117152,     -0.2518623515,     -0.3267022818,     -0.3739792095
         43,           0,          99,      -2.701168892,      -2.701168892,       -1.75529121,       -1.75529121,      -1.904141699,      -1.904141699,       1.320058791,      0.3297872671,                 0,                 0,                 0,      0.6557695684,       1.320058791,      0.3297872671,                 0,      0.2498277117,  -0.0003198842037,     -0.4519342151,     -0.3873146574
         44,           0,          99,      -2.635321305,      -2.635321305,      -1.752118339,      -1.752118339,      -1.911559572,      -1.911559572,        1.23501416,      0.2986810456,                 0,                 0,                 0,      0.5175893158,        1.23501416,      0.2986810456,                 0,      0.2418442276,    -0.02726448086,     -0.4122905323,      -0.384755107
         45,           0,          99,      -2.680825083,      -2.680825083,      -1.745942672,      -1.745942672,      -1.894237595,      -1.894237595,       1.134454541,      0.2302569825,                 0,                 0,                 0,      0.3281344507,       1.134454541,      0.2302569825,                 0,      0.2029671301,    -0.07096877258,     -0.3921985679,     -0.4022620025
         46,           0,          99,      -2.665410077,      -2.665410077,      -1.763361402,      -1.763361402,      -1.897698939,      -1.897698939,       1.060583895,      0.1454763903,                 0,                 0,                 0,      0.1718325692,       1.060583895,      0.1454763903,                 0,      0.1371663203,    -0.01361470549,      -0.420291745,       -0.38966533
         47,           0,          99,      -2.662878488,      -2.662878488,      -1.759612081,      -1.759612081,      -1.904403635,      -1.904403635,       1.070856905,     0.06920944066,                 0,                 0,                 0,     0.08788881115,       1.070856905,     0.06920944066,                 0,     0.06462996161,    -0.02087591217,     -0.4058230618,     -0.4046137538
         48,           0,          99,      -2.675582575,      -2.675582575,      -1.751567667,      -1.751567667,      -1.917270029,      -1.917270029,       1.221138811,     0.03561187444,                 0,                 0,                 0,     0.07918230753,       1.221138811,     0.03561187444,                 0,     0.02916283891,    -0.02564452314,     -0.3970544589,     -0.4217662531
         49,           0,          99,      -2.715870046,      -2.715870046,      -1.738719084,      -1.738719084,      -1.924150371,      -1.924150371,       1.486331187,     0.04111996929,                 0,                 0,                 0,     0.09581415768,       1.486331187,     0.04111996929,                 0,     0.02766541513,    -0.04556168201,     -0.3883050511,     -0.4238141103
         50,           0,          99,      -2.777781011,      -2.777781011,      -1.739433823,      -1.739433823,      -1.919284519,      -1.919284519,       1.731202793,     0.08613338044,                 0,                 0,                 0,      0.1861000771,       1.731202793,     0.08613338044,                 0,     0.04975348977,    -0.06604639736,     -0.3955721263,     -0.4102590738
         51,           0,          99,      -2.762511893,      -2.762511893,      -1.755626589,      -1.755626589,      -1.936617231,      -1.936617231,        1.79138895,      0.1582542847,                 0,                 0,                 0,      0.3459880422,        1.79138895,      0.1582542847,                 0,     0.08834166621,   -0.009619564544,     -0.4117852211,     -0.4277944014
         52,           0,          99,      -2.705139125,      -2.705139125,      -1.761887735,      -1.761887735,      -1.967996966,      -1.967996966,       1.605200552,      0.2173301795,                 0,                 0,                 0,      0.4841080885,       1.605200552,      0.2173301795,                 0,      0.1353912937,   -0.005308042643,     -0.4026592921,     -0.4515208686
         53,           0,          99,      -2.715733305,      -2.715733305,      -1.740463193,      -1.740463193,      -1.948065863,      -1.948065863,       1.277217219,      0.2538183528,                 0,                 0,                 0,      0.5501497637,       1.277217219,      0.2538183528,                 0,      0.1987276314,    -0.02662165969,       -0.35386772,     -0.3951869963
         54,           0,          99,       -2.76856861,       -2.76856861,      -1.736698977,      -1.736698977,      -1.937504822,      -1.937504822,       1.013461252,       0.262733871,                 0,                 0,                 0,      0.5329190617,       1.013461252,       0.262733871,                 0,      0.2592441206,    -0.05582938179,     -0.3499606628,     -0.3799742463
         55,           0,          99,      -2.744323497,      -2.744323497,      -1.750263177,      -1.750263177,      -2.007365075,      -2.007365075,       1.013203061,      0.2473236768,                 0,                 0,                 0,      0.4791978895,       1.013203061,      0.2473236768,                 0,       0.244100799,   -0.003430878923,     -0.3717812926,     -0.4626283127
         56,           0,          99,      -2.727778802,      -2.727778802,      -1.748022808,      -1.748022808,      -2.022469098,      -2.022469098,       1.291304108,      0.2179098368,                 0,                 0,                 0,      0.4169981173,       1.291304108,      0.2179098368,                 0,      0.1687517568,    -0.01988256295,     -0.3590953292,     -0.4305677075
         57,           0,          99,      -2.831443399,      -2.831443399,      -1.737442075,      -1.737442075,      -1.993289228,      -1.993289228,       1.574930393,      0.1759810412,                 0,                 0,                 0,      0.3392580462,       1.574930393,      0.1759810412,                 0,      0.1117389327,     -0.2066789343,      -0.352590971,     -0.4248192991
         58,           0,          99,      -2.930430023,      -2.930430023,      -1.747043351,      -1.747043351,      -2.025622462,      -2.025622462,       1.597581696,      0.1322089471,                 0,                 0,                 0,      0.2689013776,       1.597581696,      0.1322089471,                 0,      0.0827556722,      -0.235930715,     -0.3668821146,     -0.4745952183
         59,           0,          99,      -2.846680467,      -2.846680467,      -1.782742585,      -1.782742585,      -2.041496453,      -2.041496453,       1.382902893,      0.1209525938,                 0,                 0,                 0,      0.2781362925,       1.382902893,      0.1209525938,                 0,     0.08746282506,    -0.04208315031,     -0.4066134105,     -0.4216844863
         60,           0,          99,       -2.75210711,       -2.75210711,      -1.847087501,      -1.847087501,      -2.030939058,      -2.030939058,       1.176150407,      0.1465400667,                 0,                 0,                 0,      0.3666488436,       1.176150407,      0.1465400667,                 0,      0.1245929651,                 0,     -0.4281929835,      -0.342579581
         61,           0,          99,      -2.677136082,      -2.677136082,      -1.880682851,      -1.880682851,       -2.05095777,       -2.05095777,       1.161310746,      0.2029061812,                 0,                 0,                 0,      0.4984745033,       1.161310746,      0.2029061812,                 0,      0.1747216943,   -0.002759948479,     -0.3990014504,     -0.3552655777
         62,           0,          99,      -2.712226475,      -2.712226475,      -1.851299317,      -1.851299317,       -2.06634044,       -2.06634044,       1.287008905,       0.245580844,                 0,                 0,                 0,      0.5365451788,       1.287008905,       0.245580844,                 0,      0.1908151864,    -0.04846851519,     -0.3147006641,      -0.354792747
         63,           0,          99,       -2.93688067,       -2.93688067,      -1.838658919,      -1.838658919,      -2.057937323,      -2.057937323,       1.399941928,      0.2378354215,                 0,                 0,                 0,      0.4352147154,       1.399941928,      0.2378354215,                 0,       0.169889491,     -0.2260895122,     -0.3179798993,      -0.317812525
         64,           0,          99,      -2.952323485,      -2.952323485,      -1.876007028,      -1.876007028,      -2.061082062,      -2.061082062,       1.431743217,      0.1827138609,                 0,                 0,                 0,      0.2492638581,       1.431743217,      0.1827138609,                 0,      0.1276163621,     -0.1041265613,     -0.4113236845,     -0.3627878663
         65,           0,          99,      -2.735819147,      -2.735819147,      -1.920195887,      -1.920195887,      -2.087803151,      -2.087803151,       1.418077314,      0.0919883165,                 0,                 0,                 0,       0.060119831,       1.418077314,      0.0919883165,                 0,     0.06486833659,   -0.001259145251,      -0.430272216,     -0.3610574212
         66,           0,          99,      -2.780732481,      -2.780732481,      -1.870041826,      -1.870041826,      -2.102502811,      -2.102502811,       1.420256673,    0.001824409956,                 0,                 0,                 0,    -0.07294101924,       1.420256673,    0.001824409956,                 0,    0.001284563552,    -0.07308010956,     -0.3018426549,     -0.3431919722
         67,           0,          99,      -3.132110475,      -3.132110475,      -1.863798205,      -1.863798205,      -2.117292473,      -2.117292473,       1.456071167,    -0.06124468691,                 0,                 0,                 0,     -0.1400872857,       1.456071167,    -0.06124468691,                 0,    -0.04206160269,     -0.4120702305,     -0.3324949736,     -0.4162579196
         68,           0,          99,      -2.865828827,      -2.865828827,      -1.966567117,      -1.966567117,      -2.153439983,      -2.153439983,       1.512767268,    -0.07267945455,                 0,                 0,                 0,     -0.1093585475,       1.512767268,    -0.07267945455,                 0,    -0.04804404226,                 0,     -0.4889753996,     -0.3847606348
         69,           0,          99,      -2.721270208,      -2.721270208,      -1.974931248,      -1.974931248,      -2.173409737,      -2.173409737,       1.555757867,    -0.02743320156,                 0,                 0,                 0,     0.02869669418,       1.555757867,    -0.02743320156,                 0,    -0.01763333623,    -0.01255576346,     -0.4418187095,     -0.3829727969
         70,           0,          99,       -2.82374355,       -2.82374355,      -1.926852691,      -1.926852691,       -2.18434346,       -2.18434346,       1.561908572,     0.05327250494,                 0,                 0,                 0,      0.2241893227,       1.561908572,     0.05327250494,                 0,     0.03410731326,     -0.1194090608,     -0.3235338394,     -0.4014662133
         71,           0,          99,       -2.89812358,       -2.89812358,      -1.938111887,      -1.938111887,      -2.188901748,      -2.188901748,       1.531286593,      0.1442343373,                 0,                 0,                 0,      0.4047039456,       1.531286593,      0.1442343373,                 0,       0.094191602,     -0.1004847667,     -0.3872438725,     -0.4183733414
         72,           0,          99,      -2.826983355,      -2.826983355,      -1.927202935,      -1.927202935,      -2.182087416,      -2.182087416,       1.461180074,      0.2068208731,                 0,                 0,                 0,      0.4829250059,       1.461180074,      0.2068208731,                 0,      0.1415437267,    -0.01248386172,     -0.3973317244,     -0.4166580001
         73,           0,          99,      -2.881478674,      -2.881478674,      -1.887800366,      -1.887800366,      -2.164626168,      -2.164626168,        1.34669094,      0.2281602422,                 0,                 0,                 0,      0.4655696827,        1.34669094,      0.2281602422,                 0,      0.1694228686,     -0.1172672498,     -0.3354875041,     -0.4632406111
         74,           0,          99,       -2.92030167,       -2.92030167,      -1.883348538,      -1.883348538,       -2.14515842,       -2.14515842,       1.221374529,      0.2030140143,                 0,                 0,                 0,      0.3978657926,       1.221374529,      0.2030140143,                 0,      0.1662176584,      -0.123362202,     -0.3599753825,     -0.4313013401
         75,           0,          99,      -2.858492112,      -2.858492112,      -1.899014772,      -1.899014772,        -2.1375315,        -2.1375315,       1.144046036,      0.1562688766,                 0,                 0,                 0,      0.3301196058,       1.144046036,      0.1562688766,                 0,      0.1365931717,   -0.008820242236,     -0.3955549566,     -0.4186639027
         76,           0,          99,      -2.833742554,      -2.833742554,      -1.910463073,      -1.910463073,      -2.139633067,      -2.139633067,       1.171052247,      0.1033443619,                 0,                 0,                 0,      0.2627404029,       1.171052247,      0.1033443619,                 0,     0.08824914704,    -0.01273210139,     -0.3848212993,     -0.3843307059
         77,           0,          99,      -2.836836323,      -2.836836323,      -1.901163935,      -1.901163935,      -2.138855713,      -2.138855713,       1.322372856,      0.0711963432,                 0,                 0,                 0,      0.2141716428,       1.322372856,      0.0711963432,                 0,     0.05383984015,    -0.01874792609,     -0.3643544082,     -0.3907547756
         78,           0,          99,      -2.872557704,      -2.872557704,      -1.882255814,      -1.882255814,      -2.122459478,      -2.122459478,         1.5223129,     0.06158773513,                 0,                 0,                 0,      0.1804036116,         1.5223129,     0.06158773513,                 0,      0.0404566861,    -0.04721660937,     -0.3503018649,      -0.383526742
         79,           0,          99,      -2.911194225,      -2.911194225,      -1.875206941,      -1.875206941,      -2.099065621,      -2.099065621,       1.633331355,     0.07235962609,                 0,                 0,                 0,      0.1948497091,       1.633331355,     0.07235962609,                 0,     0.04430186554,     -0.1050531073,     -0.3717074742,     -0.3948699237
         80,           0,          99,       -2.91472919,       -2.91472919,      -1.877055899,      -1.877055899,      -2.095358782,      -2.095358782,       1.585046352,     0.09089485651,                 0,                 0,                 0,      0.2305053998,       1.585046352,     0.09089485651,                 0,     0.05734523561,    -0.08373205745,     -0.3834081459,     -0.4170408791
         81,           0,          99,       -2.98490107,       -2.98490107,      -1.862380873,      -1.862380873,      -2.096846092,      -2.096846092,       1.422204218,      0.1001024675,                 0,                 0,                 0,      0.2506581273,       1.422204218,      0.1001024675,                 0,     0.07038543849,    -0.07804009672,     -0.3496049037,     -0.3849136703
         82,           0,          99,      -3.097741141,      -3.097741141,      -1.859546894,      -1.859546894,      -2.082835808,      -2.082835808,       1.268584883,       0.101428791,                 0,                 0,                 0,      0.2488635783,       1.268584883,       0.101428791,                 0,     0.07995428004,     -0.1186528319,     -0.3638168332,     -0.3665557724
         83,           0,          99,      -2.951258887,      -2.951258887,      -1.884205952,      -1.884205952,      -2.072018488,      -2.072018488,       1.237058071,     0.09570061555,                 0,                 0,                 0,      0.2442420647,       1.237058071,     0.09570061555,                 0,     0.07736145764,    -0.03302134906,      -0.416885832,     -0.4076027254
         84,           0,          99,      -2.825701964,      -2.825701964,      -1.905781748,      -1.905781748,      -2.073789802,      -2.073789802,        1.35295425,     0.08388370224,                 0,                 0,                 0,      0.2255003766,        1.35295425,     0.08388370224,                 0,     0.06200039818,   -0.003257615222,     -0.4098086809,     -0.4022279628
         85,           0,          99,      -2.832161975,      -2.832161975,      -1.896850487,      -1.896850487,       -2.07084165,       -2.07084165,       1.519837019,     0.06328237394,                 0,                 0,                 0,      0.1820192661,       1.519837019,     0.06328237394,                 0,     0.04163760532,    -0.03744976233,     -0.3700845072,     -0.3824584268
         86,           0,          99,      -2.936618451,      -2.936618451,      -1.872593754,      -1.872593754,      -2.052210947,      -2.052210947,       1.592965493,      0.0400072414,                 0,                 0,                 0,      0.1263613739,       1.592965493,      0.0400072414,                 0,     0.02511494541,      -0.198289105,     -0.3612727177,     -0.4096303694
         87,           0,          99,      -3.037079076,      -3.037079076,      -1.874721582,      -1.874721582,      -2.058866665,      -2.058866665,       1.513734895,     0.01760438102,                 0,                 0,                 0,     0.08007021697,       1.513734895,     0.01760438102,                 0,     0.01162976495,     -0.1243551689,     -0.3770435835,     -0.3819296419
         88,           0,          99,      -2.977018438,      -2.977018438,      -1.881761574,      -1.881761574,      -2.054924275,      -2.054924275,       1.353615671,    0.005521532637,                 0,                 0,                 0,     0.07372172308,       1.353615671,    0.005521532637,                 0,    0.004079099228,   -0.005138303021,     -0.3983172735,     -0.3712361123
         89,           0,          99,      -2.882987924,      -2.882987924,      -1.893557249,      -1.893557249,      -2.057583664,      -2.057583664,       1.230472088,     0.01025583874,                 0,                 0,                 0,      0.1079545022,       1.230472088,     0.01025583874,                 0,    0.008334881251,   -0.006326523714,     -0.4076676731,     -0.3823398459
         90,           0,          99,      -2.892308956,      -2.892308956,      -1.883569057,      -1.883569057,      -2.064800544,      -2.064800544,       1.201823545,     0.01515771508,                 0,                 0,                 0,      0.1232250826,       1.201823545,     0.01515771508,                 0,     0.01261226338,    -0.05767732439,     -0.3795071447,     -0.4010643823
         91,           0,          99,      -3.054093419,      -3.054093419,       -1.86419114,       -1.86419114,      -2.058781938,      -2.058781938,       1.234973546,     0.01426524219,                 0,                 0,                 0,      0.1080596999,       1.234973546,     0.01426524219,                 0,     0.01155105081,     -0.2178952005,     -0.3621695529,      -0.401200002
         92,           0,          99,      -3.029528613,      -3.029528613,      -1.890738189,      -1.890738189,      -2.066447162,      -2.066447162,       1.268689513,    0.001936966517,                 0,                 0,                 0,      0.0629554926,       1.268689513,    0.001936966517,                 0,    0.001526745904,     -0.1201810722,     -0.4175974975,      -0.430879896
